case_id,brand,industry,source_collection,source_file,case_card,research_status
case-3456def8,Cider,服飾美妝品牌,其他人品牌,217Cider.pptx,wiki/cases/案例庫/服飾美妝品牌-Cider.md,待最新資料補充
case-1c242aa4,FANCL芳珂,服飾美妝品牌,晨訓商模-自己,品牌-FANCL芳珂.pptx,wiki/cases/案例庫/服飾美妝品牌-FANCL芳珂.md,待最新資料補充
case-0ca93ebe,GAP2,服飾美妝品牌,其他人品牌,GAP2.pptx,wiki/cases/案例庫/服飾美妝品牌-GAP2.md,待最新資料補充
case-ce68cc4a,HFP,服飾美妝品牌,其他人品牌,HFP.pptx,wiki/cases/案例庫/服飾美妝品牌-HFP.md,待最新資料補充
case-d72c6f79,lclcle(服裝-康晨會,服飾美妝品牌,其他人品牌,lclcle(服裝-康晨會.pptx,wiki/cases/案例庫/服飾美妝品牌-lclcle(服裝-康晨會.md,待最新資料補充
case-305fd4fa,SPANX,服飾美妝品牌,其他人品牌,品牌-SPANX.pptx,wiki/cases/案例庫/服飾美妝品牌-SPANX.md,待最新資料補充
case-86816ee4,Stitch Fix,服飾美妝品牌,其他人品牌,Stitch Fix.pptx,wiki/cases/案例庫/服飾美妝品牌-StitchFix.md,待最新資料補充
case-988a2851,Tory Burch,服飾美妝品牌,其他人品牌,品牌-Tory Burch（210702）.pptx,wiki/cases/案例庫/服飾美妝品牌-ToryBurch.md,待最新資料補充
case-c7a746ae,九牧王,服飾美妝品牌,晨訓商模-自己,品牌-1118九牧王.pptx,wiki/cases/案例庫/服飾美妝品牌-九牧王.md,待最新資料補充
case-c60400de,小仙燉燕窩,服飾美妝品牌,其他人品牌,品牌-小仙燉燕窩（210702）.pptx,wiki/cases/案例庫/服飾美妝品牌-小仙燉燕窩.md,待最新資料補充
case-dc3f7741,話梅MARMAY,服飾美妝品牌,其他人品牌,品牌-話梅MARMAY（210702）.pptx,wiki/cases/案例庫/服飾美妝品牌-話梅MARMAY.md,待最新資料補充
case-fe87d170,韓都衣舍,服飾美妝品牌,其他人品牌,韓都衣舍.pptx,wiki/cases/案例庫/服飾美妝品牌-韓都衣舍.md,待最新資料補充
case-e6d1b202,韓都衣舍2.0(510錄,服飾美妝品牌,晨訓商模-自己,0品牌-922韓都衣舍2.0(510錄.pptx,wiki/cases/案例庫/服飾美妝品牌-韓都衣舍2.0(510錄.md,待最新資料補充
case-76d5673c,香遇沙龍香水921,服飾美妝品牌,晨訓商模-自己,0品牌-826香遇沙龍香水921.pptx,wiki/cases/案例庫/服飾美妝品牌-香遇沙龍香水921.md,待最新資料補充
case-60a445b7,Classpass,生活科技服務,其他人品牌,Classpass.pptx,wiki/cases/案例庫/生活科技服務-Classpass.md,待最新資料補充
case-6b27db11,Curves,生活科技服務,其他人品牌,品牌-Curves.pptx,wiki/cases/案例庫/生活科技服務-Curves.md,待最新資料補充
case-2a520949,Getir-412錄,生活科技服務,晨訓商模-自己,OK品牌-Getir-412錄.pptx,wiki/cases/案例庫/生活科技服務-Getir-412錄.md,待最新資料補充
case-4cf1bbe4,HIPCAMP,生活科技服務,其他人品牌,HIPCAMP.pptx,wiki/cases/案例庫/生活科技服務-HIPCAMP.md,待最新資料補充
case-4c8b8791,OYO,生活科技服務,晨訓商模-自己,品牌-1220 OYO.pptx,wiki/cases/案例庫/生活科技服務-OYO.md,待最新資料補充
case-f58184ce,roblox 後疫情,生活科技服務,其他人品牌,roblox 後疫情.pptx,wiki/cases/案例庫/生活科技服務-roblox後疫情.md,待最新資料補充
case-ce5aea64,swatch,生活科技服務,其他人品牌,swatch.pptx,wiki/cases/案例庫/生活科技服務-swatch.md,待最新資料補充
case-5048d338,SWVL-玄,生活科技服務,其他人品牌,SWVL(晨會版)-玄.pptx,wiki/cases/案例庫/生活科技服務-SWVL-玄.md,待最新資料補充
case-1aae930b,TOPTOY,生活科技服務,晨訓商模-自己,品牌-1105TOPTOY.pptx,wiki/cases/案例庫/生活科技服務-TOPTOY.md,待最新資料補充
case-2515e46c,UO,生活科技服務,晨訓商模-自己,品牌-729 UO-錄影版(426.pptx,wiki/cases/案例庫/生活科技服務-UO-2.md,待最新資料補充
case-8d8ceeb2,UO,生活科技服務,晨訓商模-自己,品牌-729 UO-晨訓版更新.pptx,wiki/cases/案例庫/生活科技服務-UO.md,待最新資料補充
case-da1b5ffe,Yalla Group,生活科技服務,其他人品牌,Yalla Group.pptx,wiki/cases/案例庫/生活科技服務-YallaGroup.md,待最新資料補充
case-a9cd1b3d,YHOUSE,生活科技服務,其他人品牌,品牌-YHOUSE.pptx,wiki/cases/案例庫/生活科技服務-YHOUSE.md,待最新資料補充
case-29f70604,zippo,生活科技服務,其他人品牌,zippo.pptx,wiki/cases/案例庫/生活科技服務-zippo.md,待最新資料補充
case-96428943,傳音手機,生活科技服務,其他人品牌,傳音手機.docx,wiki/cases/案例庫/生活科技服務-傳音手機.md,待最新資料補充
case-6cbdae23,周大福,生活科技服務,晨訓商模-自己,品牌-1018周大福.pptx,wiki/cases/案例庫/生活科技服務-周大福.md,待最新資料補充
case-2ed3bb2c,好未來,生活科技服務,其他人品牌,好未來.pptx,wiki/cases/案例庫/生活科技服務-好未來.md,待最新資料補充
case-3f06ad9a,市值68億人民幣垂直結婚領域的互聯網獨角獸-婚禮紀,生活科技服務,其他人品牌,市值68億人民幣垂直結婚領域的互聯網獨角獸-婚禮紀.pptx,wiki/cases/案例庫/生活科技服務-婚禮紀.md,待最新資料補充
case-9a188f70,小熊電器,生活科技服務,晨訓商模-自己,品牌-小熊電器2.0(晨訓+隱藏錄影).pdf,wiki/cases/案例庫/生活科技服務-小熊電器-2.md,待最新資料補充
case-9a12fd46,小熊電器,生活科技服務,晨訓商模-自己,0品牌-902小熊電器2.0(晨訓+隱藏錄影).pptx,wiki/cases/案例庫/生活科技服務-小熊電器.md,待最新資料補充
case-89ab98a1,後疫情時代的任天堂,生活科技服務,其他人品牌,後疫情時代的任天堂.pptx,wiki/cases/案例庫/生活科技服務-後疫情時代的任天堂.md,待最新資料補充
case-c9d6e01a,快看app,生活科技服務,其他人品牌,快看app.pptx,wiki/cases/案例庫/生活科技服務-快看app.md,待最新資料補充
case-27c99ecb,比心陪練,生活科技服務,其他人品牌,品牌-比心陪練.pptx,wiki/cases/案例庫/生活科技服務-比心陪練.md,待最新資料補充
case-fb86feef,熊小夕,生活科技服務,其他人品牌,熊小夕(小家電-佳佑晨會板).pptx,wiki/cases/案例庫/生活科技服務-熊小夕.md,待最新資料補充
case-293ddf3e,自如租房,生活科技服務,晨訓商模-自己,0品牌-810自如租房.pptx,wiki/cases/案例庫/生活科技服務-自如租房.md,待最新資料補充
case-ec975991,蔚來汽車-中國能源車市佔第一,生活科技服務,其他人品牌,蔚來汽車-中國能源車市佔第一.pptx,wiki/cases/案例庫/生活科技服務-蔚來汽車-中國能源車市佔第一.md,待最新資料補充
case-1c304ccb,閃亮柚,生活科技服務,其他人品牌,閃亮柚-晨會版更新.pptx,wiki/cases/案例庫/生活科技服務-閃亮柚.md,待最新資料補充
case-99e3a764,00紅學院片頭,素材輔助,晨訓商模-自己,00紅學院片頭.mp4,wiki/cases/案例庫/素材輔助-00紅學院片頭.md,待最新資料補充
case-7d598bf5,14f52c3b7b9d43bea641d66a747ddddb,素材輔助,晨訓商模-自己,14f52c3b7b9d43bea641d66a747ddddb.jpeg,wiki/cases/案例庫/素材輔助-14f52c3b7b9d43bea641d66a747ddddb.md,待最新資料補充
case-2e8e55f0,24,素材輔助,晨訓商模-自己,757724.jpg,wiki/cases/案例庫/素材輔助-24.md,待最新資料補充
case-59baf920,2d80465170e24c6fbf197810ac07ae41,素材輔助,晨訓商模-自己,2d80465170e24c6fbf197810ac07ae41.jpeg,wiki/cases/案例庫/素材輔助-2d80465170e24c6fbf197810ac07ae41.md,待最新資料補充
